node id,is_team,creation date,timestamp,NPosts in 01 - Bootcamp,EPosts in 01 - Bootcamp,NPosts in 02 - Making a living,EPosts in 02 - Making a living,"NPosts in 03 - We, the people","EPosts in 03 - We, the people",NPosts in 04 - Caring for commons,EPosts in 04 - Caring for commons,NPosts in 05 - Learning,EPosts in 05 - Learning,NPosts in 06 - Living together,EPosts in 06 - Living together,NPosts in 07 -Finale,EPosts in 07 -Finale,NPosts in 08 - Resilience,EPosts in 08 - Resilience,NPosts in 00 - Undefined,EPosts in 00 - Undefined,NComms written in 01 - Bootcamp,EComms written in 01 - Bootcamp,NComms written in 02 - Making a living,EComms written in 02 - Making a living,"NComms written in 03 - We, the people","EComms written in 03 - We, the people",NComms written in 04 - Caring for commons,EComms written in 04 - Caring for commons,NComms written in 05 - Learning,EComms written in 05 - Learning,NComms written in 06 - Living together,EComms written in 06 - Living together,NComms written in 07 -Finale,EComms written in 07 -Finale,NComms written in 08 - Resilience,EComms written in 08 - Resilience,NComms written in 00 - Undefined,EComms written in 00 - Undefined,NTeam comms received in 01 - Bootcamp,ETeam comms received in 01 - Bootcamp,NTeam comms received in 02 - Making a living,ETeam comms received in 02 - Making a living,"NTeam comms received in 03 - We, the people","ETeam comms received in 03 - We, the people",NTeam comms received in 04 - Caring for commons,ETeam comms received in 04 - Caring for commons,NTeam comms received in 05 - Learning,ETeam comms received in 05 - Learning,NTeam comms received in 06 - Living together,ETeam comms received in 06 - Living together,NTeam comms received in 07 -Finale,ETeam comms received in 07 -Finale,NTeam comms received in 08 - Resilience,ETeam comms received in 08 - Resilience,NTeam comms received in 00 - Undefined,ETeam comms received in 00 - Undefined,NComms received in 01 - Bootcamp,EComms received in 01 - Bootcamp,NComms received in 02 - Making a living,EComms received in 02 - Making a living,"NComms received in 03 - We, the people","EComms received in 03 - We, the people",NComms received in 04 - Caring for commons,EComms received in 04 - Caring for commons,NComms received in 05 - Learning,EComms received in 05 - Learning,NComms received in 06 - Living together,EComms received in 06 - Living together,NComms received in 07 -Finale,EComms received in 07 -Finale,NComms received in 08 - Resilience,EComms received in 08 - Resilience,NComms received in 00 - Undefined,EComms received in 00 - Undefined,Cluster,K-Cores,PageRank,Indegree,Outdegree,betweennessCentralityCount,betweennessCentralityEffort,graphDensity,modularityCount,modularityEffort,averageClusteringCoefficient
1,0,1315432800.0,1321228800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0118759519724,0,0,0.0,0.0,0.0193798449612,0.379394267171,0.39438061296,0.0834625322997
1,0,1315432800.0,1321833600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00908208906388,0,0,0.0,0.0,0.0195578231293,0.345183133272,0.402083795297,0.250958565244
1,0,1315432800.0,1322438400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00732825036118,0,0,0.0,0.0,0.0226860254083,0.326507026627,0.376372225541,0.310754092651
1,0,1315432800.0,1323043200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0062042627247,0,0,0.0,0.0,0.0238095238095,0.315884773663,0.419513790989,0.415729207208
1,0,1315432800.0,1323648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00533515400396,0,0,0.0,0.0,0.0228873239437,0.270785552918,0.352448708437,0.469596305466
1,0,1315432800.0,1324252800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00378399901154,0,0,0.0,0.0,0.0221863062004,0.282556039988,0.340330556446,0.564134903373
1,0,1315432800.0,1324857600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00369971957122,0,0,0.0,0.0,0.0229489386116,0.276517374421,0.321211232714,0.607385910131
1,0,1315432800.0,1325462400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00364329942009,0,0,0.0,0.0,0.0216519647153,0.268590963139,0.315327457112,0.584305510667
1,0,1315432800.0,1326067200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00340958767576,0,0,0.0,0.0,0.0207835642618,0.276554957495,0.325957161725,0.577681850786
1,0,1315432800.0,1326672000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00301839101657,0,0,0.0,0.0,0.0223017041868,0.283017695162,0.319335159864,0.747909456061
