nid,author_id,author_teambrief_id,date,effort

372,262,0,29,24 Feb 2012 - 01:19,3752
373,474,0,323,24 Feb 2012 - 02:17,3513
374,75,0,191,24 Feb 2012 - 11:24,1389
375,39,0,191,24 Feb 2012 - 12:59,5358
376,42,0,191,24 Feb 2012 - 18:48,1825
377,532,0,269,24 Feb 2012 - 21:13,6739
378,205,0,191,25 Feb 2012 - 16:05,4228
380,262,0,191,27 Feb 2012 - 15:54,12812
382,536,0,262,28 Feb 2012 - 20:57,1568
384,101,0,323,29 Feb 2012 - 14:42,5431
387,555,0,269,1 Mar 2012 - 23:51,1849
397,536,0,29,4 Mar 2012 - 15:34,1588
398,64,1,44,5 Mar 2012 - 16:41,2213
399,64,1,44,5 Mar 2012 - 16:51,2388
402,64,1,29,5 Mar 2012 - 17:09,1813
404,64,1,44,5 Mar 2012 - 20:38,1926
407,439,1,29,7 Mar 2012 - 13:33,6892
408,64,1,44,8 Mar 2012 - 05:00,1520
410,64,1,44,8 Mar 2012 - 22:08,1790
411,64,1,44,8 Mar 2012 - 22:41,1693
413,570,0,406,10 Mar 2012 - 10:41,2164
416,474,0,269,10 Mar 2012 - 22:05,6477
419,44,0,191,12 Mar 2012 - 05:35,3680
420,10,1,44,12 Mar 2012 - 10:30,3089
421,64,1,401,12 Mar 2012 - 12:19,5522
422,412,0,401,12 Mar 2012 - 21:28,3724
423,260,0,191,13 Mar 2012 - 20:54,10472
424,540,0,323,14 Mar 2012 - 14:45,630
432,10,1,44,19 Mar 2012 - 13:06,1477
434,64,1,44,20 Mar 2012 - 03:55,3499
436,55,0,405,20 Mar 2012 - 14:54,6775
437,64,1,44,20 Mar 2012 - 20:23,3412
439,540,0,29,21 Mar 2012 - 00:14,2217
440,64,1,44,21 Mar 2012 - 20:05,3917
441,10,1,322,21 Mar 2012 - 20:06,2884
444,609,0,29,21 Mar 2012 - 23:04,5253
446,618,0,323,22 Mar 2012 - 10:11,11702
447,619,0,323,22 Mar 2012 - 10:19,7763
448,620,0,323,22 Mar 2012 - 10:24,5780
449,4,1,406,22 Mar 2012 - 12:41,3780
451,92,0,283,23 Mar 2012 - 23:02,2903
452,8,1,44,25 Mar 2012 - 13:14,2040
453,348,0,191,25 Mar 2012 - 14:03,2417
454,609,0,401,26 Mar 2012 - 17:30,3714
455,629,0,322,27 Mar 2012 - 10:37,7627
456,37,1,188,27 Mar 2012 - 10:38,9287
457,97,0,29,27 Mar 2012 - 16:36,1650
458,189,0,29,27 Mar 2012 - 16:49,2118
459,414,0,264,28 Mar 2012 - 01:59,11717
461,474,0,189,28 Mar 2012 - 19:39,2036
463,636,0,401,29 Mar 2012 - 02:57,2488
468,239,0,401,1 Apr 2012 - 00:21,1966
470,540,0,188,1 Apr 2012 - 15:37,1429
473,151,0,29,1 Apr 2012 - 20:52,3316
474,151,0,262,1 Apr 2012 - 23:46,4194
475,10,1,44,2 Apr 2012 - 12:22,2043
476,8,1,44,2 Apr 2012 - 13:33,2317
478,151,0,44,2 Apr 2012 - 16:55,3920
483,151,0,44,3 Apr 2012 - 10:38,6219
485,644,0,401,3 Apr 2012 - 11:09,2423
497,663,0,484,3 Apr 2012 - 16:47,2773
502,57,0,190,3 Apr 2012 - 21:06,1209
506,64,1,487,4 Apr 2012 - 07:27,2857
508,4,1,401,4 Apr 2012 - 10:48,5978
512,676,0,484,4 Apr 2012 - 13:07,2399
513,678,0,322,4 Apr 2012 - 13:29,3871
515,378,0,487,4 Apr 2012 - 19:20,2758
522,266,0,487,5 Apr 2012 - 09:13,728
523,676,0,484,5 Apr 2012 - 09:27,1394
525,266,0,486,5 Apr 2012 - 11:03,801
526,266,0,482,5 Apr 2012 - 11:19,145
527,266,0,482,5 Apr 2012 - 11:22,280
528,684,0,29,5 Apr 2012 - 12:56,1682
529,266,0,482,5 Apr 2012 - 13:45,367
530,266,0,482,5 Apr 2012 - 13:57,240
531,678,0,322,5 Apr 2012 - 19:20,5625
532,684,0,322,5 Apr 2012 - 21:14,2062
534,676,0,401,6 Apr 2012 - 09:38,2871
538,378,0,401,6 Apr 2012 - 18:06,1939
541,676,0,401,7 Apr 2012 - 14:07,557
544,676,0,484,7 Apr 2012 - 15:56,391
545,10,1,482,7 Apr 2012 - 18:02,3667
546,384,0,322,7 Apr 2012 - 18:25,4342
549,536,0,481,8 Apr 2012 - 17:13,3291
551,167,0,29,8 Apr 2012 - 23:09,3323
553,700,0,322,9 Apr 2012 - 12:11,1965
555,11,0,29,9 Apr 2012 - 19:29,2936
556,704,0,401,10 Apr 2012 - 09:50,3362
557,704,0,484,10 Apr 2012 - 10:45,3073
560,710,0,322,10 Apr 2012 - 15:44,2433
561,711,0,401,10 Apr 2012 - 16:11,2287
562,644,0,323,10 Apr 2012 - 16:13,2393
563,609,0,43,10 Apr 2012 - 17:05,38
565,678,0,188,10 Apr 2012 - 18:51,4159
568,64,1,464,11 Apr 2012 - 01:10,17466
570,716,0,487,11 Apr 2012 - 10:53,2122
571,716,0,44,11 Apr 2012 - 11:21,2527
577,598,0,29,11 Apr 2012 - 18:34,2878
580,700,0,487,12 Apr 2012 - 11:07,4028
581,685,0,323,12 Apr 2012 - 11:27,3463
582,716,0,188,12 Apr 2012 - 12:06,1214
583,676,0,324,12 Apr 2012 - 12:11,1144
585,722,0,486,12 Apr 2012 - 13:08,778
588,685,0,267,12 Apr 2012 - 13:52,444
590,266,0,269,12 Apr 2012 - 16:17,1616
591,266,0,188,12 Apr 2012 - 16:39,1462
592,536,0,262,12 Apr 2012 - 18:16,3189
595,11,0,191,13 Apr 2012 - 08:48,4662
597,716,0,29,13 Apr 2012 - 09:25,1875
598,700,0,29,13 Apr 2012 - 12:56,2634
602,609,0,43,16 Apr 2012 - 00:05,2251
603,94,0,324,16 Apr 2012 - 11:09,4225
604,536,0,262,16 Apr 2012 - 11:10,7383
605,540,0,267,16 Apr 2012 - 14:05,3102
607,37,1,188,16 Apr 2012 - 20:53,3962
608,710,0,484,17 Apr 2012 - 13:54,3263
609,683,1,190,17 Apr 2012 - 15:00,3113
613,405,0,486,18 Apr 2012 - 02:00,1858
616,717,0,322,18 Apr 2012 - 16:04,3400
617,722,0,323,18 Apr 2012 - 16:11,1317
619,521,0,29,18 Apr 2012 - 21:28,3208
621,378,0,406,19 Apr 2012 - 00:45,2939
623,690,0,482,19 Apr 2012 - 13:43,1036
624,711,0,322,20 Apr 2012 - 12:29,2753
625,664,0,322,20 Apr 2012 - 13:27,1079
627,664,0,401,20 Apr 2012 - 14:22,2250
631,674,0,29,21 Apr 2012 - 03:00,9043
632,10,1,190,21 Apr 2012 - 15:34,7547
633,756,0,324,22 Apr 2012 - 19:35,619
635,4,1,484,22 Apr 2012 - 23:18,5048
641,499,0,486,23 Apr 2012 - 16:10,755
642,64,1,262,23 Apr 2012 - 17:19,5124
643,700,0,482,23 Apr 2012 - 19:20,5331
644,454,1,640,23 Apr 2012 - 20:27,6590
647,64,1,44,24 Apr 2012 - 20:06,4617
650,762,0,188,25 Apr 2012 - 14:35,3136
651,64,1,44,25 Apr 2012 - 19:49,5339
652,763,0,322,25 Apr 2012 - 22:46,2972
653,704,0,482,26 Apr 2012 - 06:33,2451
655,683,1,191,26 Apr 2012 - 14:00,16457
657,782,0,29,26 Apr 2012 - 22:33,1988
660,782,0,324,27 Apr 2012 - 10:35,1016
661,788,0,29,27 Apr 2012 - 17:22,1789
664,207,0,269,29 Apr 2012 - 00:19,5244
668,64,1,640,30 Apr 2012 - 18:10,8655
669,782,0,323,30 Apr 2012 - 23:56,2659
670,575,0,262,1 May 2012 - 03:20,54
671,64,1,283,1 May 2012 - 19:31,3856
672,807,0,29,2 May 2012 - 11:17,1967
676,808,0,29,2 May 2012 - 14:35,2928
679,683,1,324,2 May 2012 - 22:30,9358
686,798,0,324,3 May 2012 - 18:15,3579
687,815,0,29,3 May 2012 - 19:21,2101
689,818,0,482,4 May 2012 - 08:29,1496
691,818,0,401,4 May 2012 - 09:02,1571
692,796,0,401,4 May 2012 - 09:52,3052
693,795,0,682,4 May 2012 - 10:01,3635
694,796,0,484,4 May 2012 - 10:17,1804
695,474,0,323,4 May 2012 - 20:10,9235
696,474,0,323,4 May 2012 - 20:11,10033
698,820,0,487,4 May 2012 - 23:51,6200
700,796,0,403,5 May 2012 - 20:04,2961
703,575,0,688,6 May 2012 - 14:22,609
704,575,0,482,6 May 2012 - 14:33,170
705,575,0,262,6 May 2012 - 14:41,76
706,824,0,29,6 May 2012 - 17:44,4253
709,598,0,322,7 May 2012 - 13:26,3046
715,810,0,29,8 May 2012 - 10:26,6065
716,239,0,712,8 May 2012 - 15:10,1649
717,713,0,482,8 May 2012 - 17:07,3373
718,812,0,29,8 May 2012 - 19:02,12758
719,823,0,29,8 May 2012 - 19:18,5367
721,825,0,29,9 May 2012 - 00:31,8607
725,777,0,283,9 May 2012 - 11:15,2722
729,836,0,29,9 May 2012 - 12:51,4678
730,778,0,269,9 May 2012 - 15:18,2463
731,750,0,484,9 May 2012 - 16:21,4253
732,839,0,484,9 May 2012 - 16:46,1575
733,700,0,481,9 May 2012 - 19:02,2959
737,37,1,188,10 May 2012 - 09:18,11835
741,841,0,487,10 May 2012 - 10:14,2741
747,780,0,712,10 May 2012 - 15:05,2022
748,780,0,269,10 May 2012 - 16:05,2151
749,841,0,29,10 May 2012 - 21:39,1631
750,540,0,323,11 May 2012 - 18:40,1618
751,842,0,323,12 May 2012 - 12:53,5457
754,677,0,403,12 May 2012 - 17:12,1140
756,848,0,189,12 May 2012 - 17:43,1636
759,676,0,188,12 May 2012 - 22:12,1041
761,677,0,267,13 May 2012 - 13:45,75
763,821,0,401,14 May 2012 - 04:10,864
767,655,0,262,14 May 2012 - 23:21,8934
777,862,0,712,16 May 2012 - 11:48,176
779,69,0,712,16 May 2012 - 13:15,1901
782,864,0,191,16 May 2012 - 14:37,2700
783,757,0,682,16 May 2012 - 15:11,3521
785,690,0,188,16 May 2012 - 15:57,2572
786,69,0,688,16 May 2012 - 16:24,1823
787,82,0,712,16 May 2012 - 17:32,2959
788,69,0,682,17 May 2012 - 10:24,2675
789,69,0,683,17 May 2012 - 12:23,2483
790,5,1,688,17 May 2012 - 17:14,15949
793,664,0,712,18 May 2012 - 15:18,675
794,69,0,712,18 May 2012 - 15:58,578
795,36,0,191,18 May 2012 - 16:03,3346
796,664,0,189,18 May 2012 - 17:44,696
802,711,0,406,20 May 2012 - 18:03,3678
804,378,0,322,21 May 2012 - 00:00,2737
805,378,0,712,21 May 2012 - 00:21,1294
806,598,0,323,21 May 2012 - 13:09,2241
807,97,0,712,21 May 2012 - 16:33,315
815,441,1,640,22 May 2012 - 17:16,5049
819,842,0,484,22 May 2012 - 23:05,3805
820,37,1,188,23 May 2012 - 09:49,43421
822,206,0,323,23 May 2012 - 16:47,3510
823,883,0,269,23 May 2012 - 20:56,7085
829,540,0,712,25 May 2012 - 13:56,613
831,890,0,322,25 May 2012 - 18:56,4991
836,186,0,486,26 May 2012 - 16:17,1472
837,10,1,712,26 May 2012 - 19:43,3118
839,37,1,188,27 May 2012 - 17:51,5893
845,611,0,189,29 May 2012 - 08:04,956
847,611,0,29,29 May 2012 - 09:12,1655
848,511,0,29,29 May 2012 - 13:43,1929
849,167,0,640,29 May 2012 - 14:50,6413
850,4,1,323,29 May 2012 - 17:00,4088
851,824,0,401,29 May 2012 - 17:39,2938
852,824,0,405,29 May 2012 - 19:21,1917
854,932,0,682,30 May 2012 - 01:16,1530
862,905,0,403,30 May 2012 - 12:15,921
863,935,0,640,30 May 2012 - 12:18,4985
864,10,1,688,30 May 2012 - 15:00,3538
865,932,0,191,30 May 2012 - 16:39,2067
866,932,0,189,31 May 2012 - 00:22,1429
867,905,0,262,31 May 2012 - 00:32,355
870,540,0,712,31 May 2012 - 09:23,855
871,540,0,323,31 May 2012 - 09:27,876
873,778,0,262,31 May 2012 - 18:21,3794
879,37,1,188,1 Jun 2012 - 10:49,6225
880,812,0,262,1 Jun 2012 - 15:21,4174
882,10,1,766,1 Jun 2012 - 20:01,10382
883,857,0,324,1 Jun 2012 - 20:15,2397
884,857,0,683,1 Jun 2012 - 22:05,1661
885,857,0,484,2 Jun 2012 - 04:02,499
889,10,1,264,2 Jun 2012 - 12:21,6874
890,37,1,188,2 Jun 2012 - 12:52,6142
894,245,0,29,2 Jun 2012 - 21:22,729
895,245,0,43,2 Jun 2012 - 21:40,395
896,206,0,770,2 Jun 2012 - 22:12,1830
897,151,0,688,2 Jun 2012 - 22:50,2625
898,857,0,191,3 Jun 2012 - 02:05,986
900,245,0,44,3 Jun 2012 - 14:27,190
902,245,0,45,3 Jun 2012 - 17:23,414
903,812,0,712,3 Jun 2012 - 22:26,4249
905,246,0,688,4 Jun 2012 - 01:36,2522
907,265,0,688,4 Jun 2012 - 15:40,9929
908,863,0,401,4 Jun 2012 - 16:10,2834
909,51,0,771,4 Jun 2012 - 17:09,10200
911,44,0,712,4 Jun 2012 - 23:57,614
913,37,1,188,5 Jun 2012 - 10:46,9941
914,857,0,482,5 Jun 2012 - 18:04,705
921,867,0,262,6 Jun 2012 - 11:25,5540
922,737,0,640,6 Jun 2012 - 15:37,2796
923,965,0,264,6 Jun 2012 - 17:16,2732
927,51,0,486,6 Jun 2012 - 20:13,5658
929,825,0,482,7 Jun 2012 - 00:47,3392
931,857,0,401,7 Jun 2012 - 03:22,1385
938,722,0,688,7 Jun 2012 - 11:22,6530
941,82,0,688,7 Jun 2012 - 17:05,2449
942,857,0,401,7 Jun 2012 - 18:41,1374
943,875,0,682,7 Jun 2012 - 21:21,1153
944,609,0,688,7 Jun 2012 - 21:26,5461
954,795,0,682,8 Jun 2012 - 09:09,2432
955,537,0,269,8 Jun 2012 - 09:46,3499
957,677,0,324,8 Jun 2012 - 12:38,1050
960,820,0,188,9 Jun 2012 - 00:42,1259
961,262,0,712,9 Jun 2012 - 01:44,1390
968,844,0,484,10 Jun 2012 - 15:00,3680
970,844,0,487,10 Jun 2012 - 15:24,1637
972,82,0,688,10 Jun 2012 - 18:33,2331
973,655,0,769,11 Jun 2012 - 03:24,4605
976,754,0,262,11 Jun 2012 - 09:59,5676
977,1024,0,482,11 Jun 2012 - 10:12,908
978,1024,0,712,11 Jun 2012 - 10:39,1542
979,37,1,188,11 Jun 2012 - 13:33,4985
980,683,1,189,11 Jun 2012 - 18:12,7596
981,685,0,770,11 Jun 2012 - 20:04,4729
982,82,0,683,11 Jun 2012 - 21:43,5481
984,757,0,486,11 Jun 2012 - 22:02,2340
985,472,0,323,11 Jun 2012 - 22:44,5937
986,1009,0,43,11 Jun 2012 - 23:47,367
987,912,0,43,11 Jun 2012 - 23:49,818
988,1009,0,712,11 Jun 2012 - 23:51,580
989,912,0,29,12 Jun 2012 - 00:13,1384
990,1009,0,482,12 Jun 2012 - 00:19,1815
992,912,0,45,12 Jun 2012 - 00:26,575
993,912,0,45,12 Jun 2012 - 00:35,666
994,1009,0,45,12 Jun 2012 - 01:00,589
996,1021,0,769,12 Jun 2012 - 05:08,2873
997,1021,0,769,12 Jun 2012 - 05:31,1582
998,1021,0,769,12 Jun 2012 - 06:10,4400
999,885,0,682,12 Jun 2012 - 10:15,642
1000,670,0,190,12 Jun 2012 - 15:45,3175
1001,669,0,190,12 Jun 2012 - 15:52,3212
1002,669,0,189,12 Jun 2012 - 16:20,1662
1003,1021,0,769,12 Jun 2012 - 16:31,1724
1004,1021,0,769,12 Jun 2012 - 17:10,2383
1007,511,0,682,12 Jun 2012 - 22:18,5058
1008,405,0,769,12 Jun 2012 - 23:45,15786
1016,54,0,29,13 Jun 2012 - 12:55,4853
1017,537,0,769,13 Jun 2012 - 15:10,6286
1018,1034,0,406,13 Jun 2012 - 16:37,9587
1020,985,0,323,13 Jun 2012 - 17:47,5195
1021,37,1,188,13 Jun 2012 - 17:49,5165
1024,167,0,772,14 Jun 2012 - 07:53,189
1026,1,0,712,14 Jun 2012 - 10:48,354
1028,803,0,712,14 Jun 2012 - 15:23,1341
1030,54,0,188,15 Jun 2012 - 15:58,4247
1031,655,0,769,15 Jun 2012 - 16:08,10113
1033,722,0,482,16 Jun 2012 - 03:32,8497
1040,100,0,482,16 Jun 2012 - 14:59,3280
1042,4,1,712,16 Jun 2012 - 23:48,1122
1043,511,0,712,17 Jun 2012 - 13:16,1438
1044,685,0,267,17 Jun 2012 - 14:34,127
1046,454,1,640,18 Jun 2012 - 21:49,7047
1047,37,1,640,18 Jun 2012 - 22:31,736
1048,378,0,712,18 Jun 2012 - 23:20,3157
1057,151,0,712,19 Jun 2012 - 10:02,1959
1058,812,0,482,19 Jun 2012 - 11:09,1524
1063,974,0,640,20 Jun 2012 - 18:14,5322
1064,537,0,712,20 Jun 2012 - 23:19,5234
1065,10,1,640,20 Jun 2012 - 23:58,5091
1070,82,0,683,21 Jun 2012 - 09:53,4066
1077,205,0,712,23 Jun 2012 - 21:54,8932
1078,857,0,264,23 Jun 2012 - 22:10,303
1079,205,0,188,24 Jun 2012 - 11:16,12641
1080,205,0,188,24 Jun 2012 - 11:43,10320
1081,5,1,640,24 Jun 2012 - 13:12,12780
1082,647,0,712,24 Jun 2012 - 13:13,2873
1083,378,0,323,25 Jun 2012 - 00:12,2978
1084,11,0,712,25 Jun 2012 - 09:34,2748
1085,4,1,640,25 Jun 2012 - 13:35,6435
1087,1056,0,29,25 Jun 2012 - 16:19,5387
1088,64,1,712,25 Jun 2012 - 21:36,5608
1089,167,0,640,26 Jun 2012 - 11:24,8539
1090,511,0,640,26 Jun 2012 - 13:15,6219
1091,51,0,640,26 Jun 2012 - 13:49,3795
1093,647,0,640,27 Jun 2012 - 09:36,5961
1100,11,0,640,28 Jun 2012 - 13:48,5410
1105,384,0,640,29 Jun 2012 - 16:52,9417
1106,384,0,640,29 Jun 2012 - 16:54,9625
1107,384,0,640,29 Jun 2012 - 16:56,9209
1108,384,0,640,29 Jun 2012 - 16:58,11269
1111,812,0,769,30 Jun 2012 - 23:50,4634
1112,867,0,1041,2 Jul 2012 - 09:37,7527
1114,69,0,323,2 Jul 2012 - 21:42,584
1115,69,0,323,2 Jul 2012 - 21:43,584
1119,1121,0,29,4 Jul 2012 - 11:33,3349
1120,8,1,640,4 Jul 2012 - 16:05,5627
1124,151,0,712,9 Jul 2012 - 13:32,1337
1125,151,0,712,9 Jul 2012 - 14:16,1073
1126,151,0,712,9 Jul 2012 - 14:41,856
1130,935,0,712,13 Jul 2012 - 01:10,31222
1140,10,1,640,17 Jul 2012 - 16:55,4738
1145,678,0,486,20 Jul 2012 - 12:36,5110
1147,4,1,486,23 Jul 2012 - 16:51,1073
1148,5,1,486,23 Jul 2012 - 19:01,2940
1151,1175,0,29,26 Jul 2012 - 11:44,2124
1156,4,1,486,1 Aug 2012 - 16:08,3963
1158,4,1,640,1 Aug 2012 - 22:11,261
1160,1070,0,189,3 Aug 2012 - 19:34,2451
1161,675,0,189,6 Aug 2012 - 13:52,1434
1163,8,1,1162,7 Aug 2012 - 11:45,6029
1167,932,0,640,9 Aug 2012 - 16:46,5349
1171,8,1,1162,13 Aug 2012 - 11:21,7475
1175,151,0,262,15 Aug 2012 - 17:04,1061
1178,4,1,486,21 Aug 2012 - 16:50,1735
1179,69,0,486,22 Aug 2012 - 17:06,1265
1182,10,1,1162,26 Aug 2012 - 23:31,13852
1183,401,0,1162,27 Aug 2012 - 12:19,805
1186,10,1,1162,28 Aug 2012 - 14:31,3229
1187,1234,0,688,4 Sep 2012 - 18:26,597
1188,777,0,283,5 Sep 2012 - 13:00,3363
1191,8,1,1162,7 Sep 2012 - 11:57,11360
1193,4,1,486,10 Sep 2012 - 10:30,2470
1194,10,1,1162,12 Sep 2012 - 19:25,18231
1195,720,0,486,12 Sep 2012 - 19:26,6303
1198,454,1,1162,19 Sep 2012 - 15:51,1543
1199,454,1,1162,19 Sep 2012 - 16:05,394
1201,454,1,640,20 Sep 2012 - 13:14,1139
1202,69,0,1041,21 Sep 2012 - 17:12,2340
1209,4,1,264,1 Oct 2012 - 16:28,1164
1210,10,1,486,2 Oct 2012 - 14:55,3350
1211,10,1,486,4 Oct 2012 - 11:09,2685
1213,266,0,481,6 Oct 2012 - 13:15,1444
1218,1299,0,486,11 Oct 2012 - 01:44,7415
1219,69,0,765,11 Oct 2012 - 14:21,193
1220,69,0,29,11 Oct 2012 - 15:24,1274
1222,1299,0,688,12 Oct 2012 - 12:35,526
1223,1299,0,481,12 Oct 2012 - 13:40,3840
1230,44,0,682,18 Oct 2012 - 16:51,3483
1232,1299,0,189,21 Oct 2012 - 18:26,839
1234,653,0,323,24 Oct 2012 - 14:37,1913
1235,8,1,640,25 Oct 2012 - 15:42,10598
1236,1299,0,688,29 Oct 2012 - 15:11,1372
1244,823,0,1240,2 Nov 2012 - 22:03,2818
1245,1299,0,683,3 Nov 2012 - 15:34,2588
1246,1,0,1241,5 Nov 2012 - 14:32,1359
1247,1,0,1241,5 Nov 2012 - 14:37,1191
1248,1,0,1241,5 Nov 2012 - 14:41,1544
1249,1,0,1241,5 Nov 2012 - 14:46,2961
1250,1,0,1241,5 Nov 2012 - 14:48,2336
1251,1,0,1241,5 Nov 2012 - 14:49,1406
1252,1,0,1241,5 Nov 2012 - 14:51,1637
1265,683,1,1240,14 Nov 2012 - 01:19,12422
1268,1299,0,683,14 Nov 2012 - 13:14,2257
1270,439,1,1240,15 Nov 2012 - 15:50,4216
1318,1,0,1239,30 Nov 2012 - 12:09,10679
1319,1299,0,1239,30 Nov 2012 - 22:08,1592
1322,1508,1,1240,2 Dec 2012 - 18:04,2848
1329,1508,1,1239,4 Dec 2012 - 12:55,3181
1330,474,0,1239,4 Dec 2012 - 22:33,4533
1344,4,1,1241,8 Dec 2012 - 17:09,9213
