Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"233","10","<[2012-01-11T18:10:08.000, 2012-02-10T16:21:08.000, 1); [2012-02-10T16:21:08.000, 2012-02-10T22:30:42.000, 2); [2012-02-10T22:30:42.000, 2012-02-10T23:26:09.000, 3); [2012-02-10T23:26:09.000, 2012-02-10T23:47:12.000, 4); [2012-02-10T23:47:12.000, 2012-02-11T23:27:58.000, 5); [2012-02-11T23:27:58.000, 2014-10-07T19:10:08.000, 6); [2014-10-07T19:10:08.000, 2014-11-06T16:21:08.000, 5); [2014-11-06T16:21:08.000, 2014-11-06T22:30:42.000, 4); [2014-11-06T22:30:42.000, 2014-11-06T23:26:09.000, 3); [2014-11-06T23:26:09.000, 2014-11-06T23:47:12.000, 2); [2014-11-06T23:47:12.000, 2014-11-07T23:27:58.000, 1]>",,,,,,
"266","262","<[2012-11-21T19:10:45.000, 2012-11-21T20:22:22.000, 1); [2012-11-21T20:22:22.000, 2012-11-22T18:23:15.000, 2); [2012-11-22T18:23:15.000, 2012-11-24T13:11:30.000, 3); [2012-11-24T13:11:30.000, 2015-08-18T20:10:45.000, 4); [2015-08-18T20:10:45.000, 2015-08-18T21:22:22.000, 3); [2015-08-18T21:22:22.000, 2015-08-19T19:23:15.000, 2); [2015-08-19T19:23:15.000, 2015-08-21T14:11:30.000, 1]>",,,,,,
"37","37","<[2012-06-04T13:38:25.000, 2015-03-01T12:38:25.000, 1]>",,,,,,
"82","251","<[2012-05-28T00:22:38.000, 2015-02-21T23:22:38.000, 1]>",,,,,,
"823","5","<[2012-05-12T16:05:14.000, 2015-02-06T15:05:14.000, 1]>",,,,,,
"245","713","<[2012-06-03T18:23:01.000, 2015-02-28T17:23:01.000, 1]>",,,,,,
"644","239","<[2012-04-03T14:11:04.000, 2014-12-29T13:11:04.000, 1]>",,,,,,
"468","239","<[2012-04-03T20:01:45.000, 2014-12-29T19:01:45.000, 1]>",,,,,,
"262","965","<[2012-06-24T23:43:11.000, 2012-06-24T23:43:31.000, 1); [2012-06-24T23:43:31.000, 2015-03-21T22:43:11.000, 2); [2015-03-21T22:43:11.000, 2015-03-21T22:43:31.000, 1]>",,,,,,
"4","737","<[2012-06-07T10:56:00.000, 2012-06-09T10:44:41.000, 1); [2012-06-09T10:44:41.000, 2015-03-04T09:56:00.000, 2); [2015-03-04T09:56:00.000, 2015-03-06T09:44:41.000, 1]>",,,,,,
"441","675","<[2012-06-10T00:42:32.000, 2015-03-06T23:42:32.000, 1]>",,,,,,
"762","683","<[2012-04-25T21:59:11.000, 2015-01-20T20:59:11.000, 1]>",,,,,,
"468","540","<[2012-04-17T18:05:43.000, 2012-04-24T11:12:54.000, 1); [2012-04-24T11:12:54.000, 2012-05-14T16:13:46.000, 2); [2012-05-14T16:13:46.000, 2012-05-14T16:42:52.000, 3); [2012-05-14T16:42:52.000, 2012-05-14T17:02:22.000, 4); [2012-05-14T17:02:22.000, 2012-05-15T14:27:11.000, 5); [2012-05-15T14:27:11.000, 2012-06-04T11:14:02.000, 6); [2012-06-04T11:14:02.000, 2015-01-12T17:05:43.000, 7); [2015-01-12T17:05:43.000, 2015-01-19T10:12:54.000, 6); [2015-01-19T10:12:54.000, 2015-02-08T15:13:46.000, 5); [2015-02-08T15:13:46.000, 2015-02-08T15:42:52.000, 4); [2015-02-08T15:42:52.000, 2015-02-08T16:02:22.000, 3); [2015-02-08T16:02:22.000, 2015-02-09T13:27:11.000, 2); [2015-02-09T13:27:11.000, 2015-03-01T10:14:02.000, 1]>",,,,,,
"174","5","<[2012-03-02T15:29:54.000, 2014-11-27T15:29:54.000, 1]>",,,,,,
"10","812","<[2012-06-02T12:03:55.000, 2012-06-24T22:56:27.000, 1); [2012-06-24T22:56:27.000, 2012-07-20T15:30:14.000, 2); [2012-07-20T15:30:14.000, 2015-02-27T11:03:55.000, 3); [2015-02-27T11:03:55.000, 2015-03-21T21:56:27.000, 2); [2015-03-21T21:56:27.000, 2015-04-16T15:30:14.000, 1]>",,,,,,
"716","468","<[2012-04-17T13:58:20.000, 2015-01-12T12:58:20.000, 1]>",,,,,,
"8","8","<[2012-02-14T12:28:43.000, 2012-05-31T20:49:01.000, 1); [2012-05-31T20:49:01.000, 2012-08-14T12:27:28.000, 2); [2012-08-14T12:27:28.000, 2012-09-05T15:55:00.000, 3); [2012-09-05T15:55:00.000, 2014-11-10T12:28:43.000, 4); [2014-11-10T12:28:43.000, 2015-02-25T19:49:01.000, 3); [2015-02-25T19:49:01.000, 2015-05-11T12:27:28.000, 2); [2015-05-11T12:27:28.000, 2015-06-02T15:55:00.000, 1]>",,,,,,
"890","11","<[2012-06-28T16:28:03.000, 2012-06-28T16:33:49.000, 1); [2012-06-28T16:33:49.000, 2012-06-28T16:38:52.000, 2); [2012-06-28T16:38:52.000, 2015-03-25T15:28:03.000, 3); [2015-03-25T15:28:03.000, 2015-03-25T15:33:49.000, 2); [2015-03-25T15:33:49.000, 2015-03-25T15:38:52.000, 1]>",,,,,,
"700","441","<[2012-05-11T13:09:18.000, 2015-02-05T12:09:18.000, 1]>",,,,,,
"4","64","<[2011-11-18T16:21:26.000, 2011-11-30T23:18:35.000, 1); [2011-11-30T23:18:35.000, 2011-12-10T13:03:43.000, 2); [2011-12-10T13:03:43.000, 2011-12-20T19:50:56.000, 3); [2011-12-20T19:50:56.000, 2012-01-10T11:25:31.000, 4); [2012-01-10T11:25:31.000, 2012-01-10T20:19:12.000, 5); [2012-01-10T20:19:12.000, 2012-01-11T18:57:47.000, 6); [2012-01-11T18:57:47.000, 2012-01-12T14:59:42.000, 7); [2012-01-12T14:59:42.000, 2012-01-19T13:00:14.000, 8); [2012-01-19T13:00:14.000, 2012-01-19T17:34:00.000, 9); [2012-01-19T17:34:00.000, 2012-01-19T17:39:00.000, 10); [2012-01-19T17:39:00.000, 2012-02-04T17:09:56.000, 11); [2012-02-04T17:09:56.000, 2012-02-06T22:43:41.000, 12); [2012-02-06T22:43:41.000, 2012-02-28T20:48:20.000, 13); [2012-02-28T20:48:20.000, 2012-03-11T23:27:16.000, 14); [2012-03-11T23:27:16.000, 2012-03-20T09:51:56.000, 15); [2012-03-20T09:51:56.000, 2012-04-23T16:19:25.000, 16); [2012-04-23T16:19:25.000, 2012-04-23T19:48:24.000, 17); [2012-04-23T19:48:24.000, 2012-05-05T20:03:43.000, 18); [2012-05-05T20:03:43.000, 2012-06-09T12:29:00.000, 19); [2012-06-09T12:29:00.000, 2014-08-14T17:21:26.000, 20); [2014-08-14T17:21:26.000, 2014-08-27T00:18:35.000, 19); [2014-08-27T00:18:35.000, 2014-09-05T14:03:43.000, 18); [2014-09-05T14:03:43.000, 2014-09-15T20:50:56.000, 17); [2014-09-15T20:50:56.000, 2014-10-06T12:25:31.000, 16); [2014-10-06T12:25:31.000, 2014-10-06T21:19:12.000, 15); [2014-10-06T21:19:12.000, 2014-10-07T19:57:47.000, 14); [2014-10-07T19:57:47.000, 2014-10-08T15:59:42.000, 13); [2014-10-08T15:59:42.000, 2014-10-15T14:00:14.000, 12); [2014-10-15T14:00:14.000, 2014-10-15T18:34:00.000, 11); [2014-10-15T18:34:00.000, 2014-10-15T18:39:00.000, 10); [2014-10-15T18:39:00.000, 2014-10-31T17:09:56.000, 9); [2014-10-31T17:09:56.000, 2014-11-02T22:43:41.000, 8); [2014-11-02T22:43:41.000, 2014-11-24T20:48:20.000, 7); [2014-11-24T20:48:20.000, 2014-12-06T23:27:16.000, 6); [2014-12-06T23:27:16.000, 2014-12-15T09:51:56.000, 5); [2014-12-15T09:51:56.000, 2015-01-18T15:19:25.000, 4); [2015-01-18T15:19:25.000, 2015-01-18T18:48:24.000, 3); [2015-01-18T18:48:24.000, 2015-01-30T19:03:43.000, 2); [2015-01-30T19:03:43.000, 2015-03-06T11:29:00.000, 1]>",,,,,,
"540","716","<[2012-04-17T16:00:24.000, 2012-04-18T20:28:39.000, 1); [2012-04-18T20:28:39.000, 2012-04-18T22:36:31.000, 2); [2012-04-18T22:36:31.000, 2015-01-12T15:00:24.000, 3); [2015-01-12T15:00:24.000, 2015-01-13T19:28:39.000, 2); [2015-01-13T19:28:39.000, 2015-01-13T21:36:31.000, 1]>",,,,,,
"7","4","<[2011-12-12T13:21:50.000, 2014-09-07T14:21:50.000, 1]>",,,,,,
"537","655","<[2012-06-13T07:47:23.000, 2015-03-10T06:47:23.000, 1]>",,,,,,
"867","10","<[2012-06-06T19:41:51.000, 2015-03-03T18:41:51.000, 1]>",,,,,,
"836","10","<[2012-05-10T06:55:52.000, 2015-02-04T05:55:52.000, 1]>",,,,,,
"5","664","<[2012-04-28T18:41:35.000, 2012-05-20T15:00:17.000, 1); [2012-05-20T15:00:17.000, 2015-01-23T17:41:35.000, 2); [2015-01-23T17:41:35.000, 2015-02-14T14:00:17.000, 1]>",,,,,,
"307","346","<[2012-01-26T20:40:01.000, 2012-01-30T14:28:43.000, 1); [2012-01-30T14:28:43.000, 2014-10-22T21:40:01.000, 2); [2014-10-22T21:40:01.000, 2014-10-26T14:28:43.000, 1]>",,,,,,
"4","710","<[2012-04-10T17:11:40.000, 2012-04-14T13:18:56.000, 1); [2012-04-14T13:18:56.000, 2012-04-17T17:00:48.000, 2); [2012-04-17T17:00:48.000, 2012-09-08T12:46:08.000, 3); [2012-09-08T12:46:08.000, 2015-01-05T16:11:40.000, 4); [2015-01-05T16:11:40.000, 2015-01-09T12:18:56.000, 3); [2015-01-09T12:18:56.000, 2015-01-12T16:00:48.000, 2); [2015-01-12T16:00:48.000, 2015-06-05T12:46:08.000, 1]>",,,,,,
"1299","468","<[2012-11-14T13:18:03.000, 2015-08-11T14:18:03.000, 1]>",,,,,,
"209","262","<[2012-03-03T17:55:12.000, 2014-11-28T17:55:12.000, 1]>",,,,,,
"64","1021","<[2012-06-27T20:44:00.000, 2015-03-24T19:44:00.000, 1]>",,,,,,
"101","536","<[2012-03-05T10:53:21.000, 2014-11-30T10:53:21.000, 1]>",,,,,,
"4","69","<[2011-12-03T19:00:38.000, 2012-05-16T22:17:28.000, 1); [2012-05-16T22:17:28.000, 2012-05-18T23:15:44.000, 2); [2012-05-18T23:15:44.000, 2012-08-23T10:50:55.000, 3); [2012-08-23T10:50:55.000, 2012-10-11T23:32:42.000, 4); [2012-10-11T23:32:42.000, 2014-08-29T20:00:38.000, 5); [2014-08-29T20:00:38.000, 2015-02-10T21:17:28.000, 4); [2015-02-10T21:17:28.000, 2015-02-12T22:15:44.000, 3); [2015-02-12T22:15:44.000, 2015-05-20T10:50:55.000, 2); [2015-05-20T10:50:55.000, 2015-07-08T23:32:42.000, 1]>",,,,,,
"4","777","<[2012-05-10T00:04:32.000, 2012-09-08T13:29:05.000, 1); [2012-09-08T13:29:05.000, 2015-02-03T23:04:32.000, 2); [2015-02-03T23:04:32.000, 2015-06-05T13:29:05.000, 1]>",,,,,,
"4","92","<[2011-11-10T16:57:57.000, 2011-11-17T11:30:14.000, 1); [2011-11-17T11:30:14.000, 2012-03-30T17:27:18.000, 2); [2012-03-30T17:27:18.000, 2012-06-09T23:34:59.000, 3); [2012-06-09T23:34:59.000, 2014-08-06T17:57:57.000, 4); [2014-08-06T17:57:57.000, 2014-08-13T12:30:14.000, 3); [2014-08-13T12:30:14.000, 2014-12-25T16:27:18.000, 2); [2014-12-25T16:27:18.000, 2015-03-06T22:34:59.000, 1]>",,,,,,
"311","5","<[2011-12-16T04:32:12.000, 2011-12-16T18:35:45.000, 1); [2011-12-16T18:35:45.000, 2014-09-11T05:32:12.000, 2); [2014-09-11T05:32:12.000, 2014-09-11T19:35:45.000, 1]>",,,,,,
"454","468","<[2012-02-21T18:31:26.000, 2014-11-17T18:31:26.000, 1]>",,,,,,
"200","8","<[2011-11-28T13:58:30.000, 2014-08-24T14:58:30.000, 1]>",,,,,,
"206","683","<[2012-06-13T00:38:26.000, 2012-06-13T01:11:30.000, 1); [2012-06-13T01:11:30.000, 2012-06-13T01:29:54.000, 2); [2012-06-13T01:29:54.000, 2015-03-09T23:38:26.000, 3); [2015-03-09T23:38:26.000, 2015-03-10T00:11:30.000, 2); [2015-03-10T00:11:30.000, 2015-03-10T00:29:54.000, 1]>",,,,,,
"864","864","<[2012-05-23T00:38:11.000, 2015-02-16T23:38:11.000, 1]>",,,,,,
"844","842","<[2012-06-10T16:41:38.000, 2012-06-10T16:41:43.000, 1); [2012-06-10T16:41:43.000, 2015-03-07T15:41:38.000, 2); [2015-03-07T15:41:38.000, 2015-03-07T15:41:43.000, 1]>",,,,,,
"683","37","<[2012-04-19T02:38:02.000, 2015-01-14T01:38:02.000, 1]>",,,,,,
"720","64","<[2012-04-18T12:44:31.000, 2012-04-19T12:06:50.000, 1); [2012-04-19T12:06:50.000, 2015-01-13T11:44:31.000, 2); [2015-01-13T11:44:31.000, 2015-01-14T11:06:50.000, 1]>",,,,,,
"9","44","<[2011-12-19T19:20:41.000, 2014-09-14T20:20:41.000, 1]>",,,,,,
"4","351","<[2012-02-17T14:42:21.000, 2012-02-20T15:10:13.000, 1); [2012-02-20T15:10:13.000, 2012-02-23T14:12:31.000, 2); [2012-02-23T14:12:31.000, 2012-03-23T19:30:51.000, 3); [2012-03-23T19:30:51.000, 2014-11-13T14:42:21.000, 4); [2014-11-13T14:42:21.000, 2014-11-16T15:10:13.000, 3); [2014-11-16T15:10:13.000, 2014-11-19T14:12:31.000, 2); [2014-11-19T14:12:31.000, 2014-12-18T19:30:51.000, 1]>",,,,,,
"468","684","<[2012-04-10T12:10:28.000, 2015-01-05T11:10:28.000, 1]>",,,,,,
"82","678","<[2012-07-20T16:54:03.000, 2015-04-16T16:54:03.000, 1]>",,,,,,
"260","932","<[2012-07-17T17:52:10.000, 2015-04-13T17:52:10.000, 1]>",,,,,,
"965","37","<[2012-06-04T14:11:15.000, 2012-06-06T10:46:23.000, 1); [2012-06-06T10:46:23.000, 2012-06-10T08:19:26.000, 2); [2012-06-10T08:19:26.000, 2015-03-01T13:11:15.000, 3); [2015-03-01T13:11:15.000, 2015-03-03T09:46:23.000, 2); [2015-03-03T09:46:23.000, 2015-03-07T07:19:26.000, 1]>",,,,,,
"675","4","<[2012-05-30T22:52:31.000, 2015-02-24T21:52:31.000, 1]>",,,,,,
"239","10","<[2012-05-10T14:28:10.000, 2015-02-04T13:28:10.000, 1]>",,,,,,
"818","8","<[2012-05-05T20:08:18.000, 2015-01-30T19:08:18.000, 1]>",,,,,,
"762","690","<[2012-04-24T17:04:50.000, 2015-01-19T16:04:50.000, 1]>",,,,,,
"64","683","<[2012-04-17T16:48:34.000, 2012-04-17T22:54:00.000, 1); [2012-04-17T22:54:00.000, 2012-05-03T19:08:00.000, 2); [2012-05-03T19:08:00.000, 2012-05-05T06:37:30.000, 3); [2012-05-05T06:37:30.000, 2012-05-10T04:29:00.000, 4); [2012-05-10T04:29:00.000, 2015-01-12T15:48:34.000, 5); [2015-01-12T15:48:34.000, 2015-01-12T21:54:00.000, 4); [2015-01-12T21:54:00.000, 2015-01-28T18:08:00.000, 3); [2015-01-28T18:08:00.000, 2015-01-30T05:37:30.000, 2); [2015-01-30T05:37:30.000, 2015-02-04T03:29:00.000, 1]>",,,,,,
"36","9","<[2011-10-18T15:51:30.000, 2012-05-27T16:05:46.000, 1); [2012-05-27T16:05:46.000, 2014-07-14T15:51:30.000, 2); [2014-07-14T15:51:30.000, 2015-02-21T15:05:46.000, 1]>",,,,,,
"203","812","<[2012-05-16T18:38:08.000, 2012-05-18T17:25:41.000, 1); [2012-05-18T17:25:41.000, 2012-05-20T18:30:26.000, 2); [2012-05-20T18:30:26.000, 2015-02-10T17:38:08.000, 3); [2015-02-10T17:38:08.000, 2015-02-12T16:25:41.000, 2); [2015-02-12T16:25:41.000, 2015-02-14T17:30:26.000, 1]>",,,,,,
"8","384","<[2012-07-02T13:07:36.000, 2012-07-04T17:15:10.000, 1); [2012-07-04T17:15:10.000, 2015-03-29T13:07:36.000, 2); [2015-03-29T13:07:36.000, 2015-03-31T17:15:10.000, 1]>",,,,,,
"677","677","<[2012-06-08T17:43:58.000, 2015-03-05T16:43:58.000, 1]>",,,,,,
"10","245","<[2012-06-03T22:16:39.000, 2012-06-05T22:33:03.000, 1); [2012-06-05T22:33:03.000, 2015-02-28T21:16:39.000, 2); [2015-02-28T21:16:39.000, 2015-03-02T21:33:03.000, 1]>",,,,,,
"64","540","<[2012-05-25T16:53:39.000, 2012-05-31T15:09:49.000, 1); [2012-05-31T15:09:49.000, 2015-02-19T15:53:39.000, 2); [2015-02-19T15:53:39.000, 2015-02-25T14:09:49.000, 1]>",,,,,,
"8","209","<[2012-01-18T20:44:25.000, 2014-10-14T21:44:25.000, 1]>",,,,,,
"262","384","<[2012-03-13T15:45:15.000, 2012-07-16T14:38:03.000, 1); [2012-07-16T14:38:03.000, 2014-12-08T15:45:15.000, 2); [2014-12-08T15:45:15.000, 2015-04-12T14:38:03.000, 1]>",,,,,,
"867","64","<[2012-06-09T04:30:35.000, 2012-06-11T22:47:53.000, 1); [2012-06-11T22:47:53.000, 2012-08-29T19:41:26.000, 2); [2012-08-29T19:41:26.000, 2015-03-06T03:30:35.000, 3); [2015-03-06T03:30:35.000, 2015-03-08T21:47:53.000, 2); [2015-03-08T21:47:53.000, 2015-05-26T19:41:26.000, 1]>",,,,,,
"4","348","<[2012-03-29T17:22:24.000, 2014-12-24T16:22:24.000, 1]>",,,,,,
"8","685","<[2012-05-14T21:29:52.000, 2015-02-08T20:29:52.000, 1]>",,,,,,
"812","203","<[2012-05-15T23:41:00.000, 2012-05-16T21:15:49.000, 1); [2012-05-16T21:15:49.000, 2015-02-09T22:41:00.000, 2); [2015-02-09T22:41:00.000, 2015-02-10T20:15:49.000, 1]>",,,,,,
"4","11","<[2012-04-13T11:48:48.000, 2012-07-21T10:26:00.000, 1); [2012-07-21T10:26:00.000, 2012-07-24T00:41:37.000, 2); [2012-07-24T00:41:37.000, 2015-01-08T10:48:48.000, 3); [2015-01-08T10:48:48.000, 2015-04-17T10:26:00.000, 2); [2015-04-17T10:26:00.000, 2015-04-20T00:41:37.000, 1]>",,,,,,
"64","133","<[2011-11-22T12:20:37.000, 2011-11-22T18:09:15.000, 1); [2011-11-22T18:09:15.000, 2011-11-23T18:30:58.000, 2); [2011-11-23T18:30:58.000, 2014-08-18T13:20:37.000, 3); [2014-08-18T13:20:37.000, 2014-08-18T19:09:15.000, 2); [2014-08-18T19:09:15.000, 2014-08-19T19:30:58.000, 1]>",,,,,,
"8","239","<[2012-04-04T10:42:33.000, 2012-05-14T14:13:57.000, 1); [2012-05-14T14:13:57.000, 2014-12-30T09:42:33.000, 2); [2014-12-30T09:42:33.000, 2015-02-08T13:13:57.000, 1]>",,,,,,
"266","857","<[2012-10-05T16:39:00.000, 2015-07-02T16:39:00.000, 1]>",,,,,,
"10","1234","<[2012-09-04T23:12:57.000, 2015-06-01T23:12:57.000, 1]>",,,,,,
"256","5","<[2012-02-17T19:35:22.000, 2014-11-13T19:35:22.000, 1]>",,,,,,
"716","841","<[2012-05-11T08:45:20.000, 2015-02-05T07:45:20.000, 1]>",,,,,,
"653","678","<[2012-07-20T16:31:31.000, 2015-04-16T16:31:31.000, 1]>",,,,,,
"857","37","<[2012-06-02T17:47:30.000, 2012-06-05T10:46:51.000, 1); [2012-06-05T10:46:51.000, 2015-02-27T16:47:30.000, 2); [2015-02-27T16:47:30.000, 2015-03-02T09:46:51.000, 1]>",,,,,,
"932","704","<[2012-05-31T23:51:51.000, 2012-06-01T02:47:58.000, 1); [2012-06-01T02:47:58.000, 2015-02-25T22:51:51.000, 2); [2015-02-25T22:51:51.000, 2015-02-26T01:47:58.000, 1]>",,,,,,
"824","841","<[2012-05-29T16:09:41.000, 2012-05-30T21:59:34.000, 1); [2012-05-30T21:59:34.000, 2015-02-23T15:09:41.000, 2); [2015-02-23T15:09:41.000, 2015-02-24T20:59:34.000, 1]>",,,,,,
"52","9","<[2011-10-17T23:13:59.000, 2014-07-13T23:13:59.000, 1]>",,,,,,
"474","39","<[2012-02-26T21:12:35.000, 2014-11-22T21:12:35.000, 1]>",,,,,,
"643","8","<[2012-04-02T21:30:37.000, 2014-12-28T20:30:37.000, 1]>",,,,,,
"1187","4","<[2012-08-03T18:06:43.000, 2012-10-10T19:25:44.000, 1); [2012-10-10T19:25:44.000, 2012-10-23T15:20:08.000, 2); [2012-10-23T15:20:08.000, 2012-10-23T15:32:56.000, 3); [2012-10-23T15:32:56.000, 2015-04-30T18:06:43.000, 4); [2015-04-30T18:06:43.000, 2015-07-07T19:25:44.000, 3); [2015-07-07T19:25:44.000, 2015-07-20T15:20:08.000, 2); [2015-07-20T15:20:08.000, 2015-07-20T15:32:56.000, 1]>",,,,,,
"8","474","<[2012-02-11T01:01:23.000, 2012-02-12T13:41:49.000, 1); [2012-02-12T13:41:49.000, 2012-02-12T20:12:49.000, 2); [2012-02-12T20:12:49.000, 2014-11-07T01:01:23.000, 3); [2014-11-07T01:01:23.000, 2014-11-08T13:41:49.000, 2); [2014-11-08T13:41:49.000, 2014-11-08T20:12:49.000, 1]>",,,,,,
"425","10","<[2012-04-17T20:27:08.000, 2015-01-12T19:27:08.000, 1]>",,,,,,
"690","425","<[2012-04-19T14:13:56.000, 2015-01-14T13:13:56.000, 1]>",,,,,,
"818","807","<[2012-05-05T20:11:34.000, 2015-01-30T19:11:34.000, 1]>",,,,,,
"4","293","<[2011-12-12T21:02:40.000, 2011-12-12T21:58:52.000, 1); [2011-12-12T21:58:52.000, 2011-12-21T20:34:59.000, 2); [2011-12-21T20:34:59.000, 2014-09-07T22:02:40.000, 3); [2014-09-07T22:02:40.000, 2014-09-07T22:58:52.000, 2); [2014-09-07T22:58:52.000, 2014-09-16T21:34:59.000, 1]>",,,,,,
"1070","8","<[2012-08-02T16:38:59.000, 2015-04-29T16:38:59.000, 1]>",,,,,,
"1070","537","<[2012-07-06T16:05:41.000, 2015-04-02T16:05:41.000, 1]>",,,,,,
"8","932","<[2012-05-31T19:39:06.000, 2012-07-19T10:55:45.000, 1); [2012-07-19T10:55:45.000, 2012-08-09T19:08:20.000, 2); [2012-08-09T19:08:20.000, 2012-08-24T11:36:14.000, 3); [2012-08-24T11:36:14.000, 2012-09-05T17:00:49.000, 4); [2012-09-05T17:00:49.000, 2012-10-08T22:04:38.000, 5); [2012-10-08T22:04:38.000, 2015-02-25T18:39:06.000, 6); [2015-02-25T18:39:06.000, 2015-04-15T10:55:45.000, 5); [2015-04-15T10:55:45.000, 2015-05-06T19:08:20.000, 4); [2015-05-06T19:08:20.000, 2015-05-21T11:36:14.000, 3); [2015-05-21T11:36:14.000, 2015-06-02T17:00:49.000, 2); [2015-06-02T17:00:49.000, 2015-07-05T22:04:38.000, 1]>",,,,,,
"716","540","<[2012-04-17T12:56:42.000, 2012-04-18T12:25:13.000, 1); [2012-04-18T12:25:13.000, 2012-04-19T10:17:18.000, 2); [2012-04-19T10:17:18.000, 2015-01-12T11:56:42.000, 3); [2015-01-12T11:56:42.000, 2015-01-13T11:25:13.000, 2); [2015-01-13T11:25:13.000, 2015-01-14T09:17:18.000, 1]>",,,,,,
"683","454","<[2012-09-19T18:17:09.000, 2015-06-16T18:17:09.000, 1]>",,,,,,
"974","262","<[2012-07-08T13:52:03.000, 2012-07-08T13:56:46.000, 1); [2012-07-08T13:56:46.000, 2015-04-04T13:52:03.000, 2); [2015-04-04T13:52:03.000, 2015-04-04T13:56:46.000, 1]>",,,,,,
"5","37","<[2012-05-12T15:34:36.000, 2015-02-06T14:34:36.000, 1]>",,,,,,
"5","824","<[2012-05-12T18:49:22.000, 2015-02-06T17:49:22.000, 1]>",,,,,,
"311","311","<[2011-12-18T01:07:25.000, 2014-09-13T02:07:25.000, 1]>",,,,,,
"205","4","<[2012-02-25T21:15:03.000, 2012-06-01T15:42:13.000, 1); [2012-06-01T15:42:13.000, 2012-07-15T21:44:05.000, 2); [2012-07-15T21:44:05.000, 2014-11-21T21:15:03.000, 3); [2014-11-21T21:15:03.000, 2015-02-26T14:42:13.000, 2); [2015-02-26T14:42:13.000, 2015-04-11T21:44:05.000, 1]>",,,,,,
"678","384","<[2012-04-10T19:11:22.000, 2015-01-05T18:11:22.000, 1]>",,,,,,
"167","468","<[2012-04-23T00:47:20.000, 2015-01-17T23:47:20.000, 1]>",,,,,,
"825","700","<[2012-05-10T22:53:45.000, 2015-02-04T21:53:45.000, 1]>",,,,,,
"468","716","<[2012-04-16T15:19:10.000, 2015-01-11T14:19:10.000, 1]>",,,,,,
"1137","974","<[2012-07-29T14:55:24.000, 2015-04-25T14:55:24.000, 1]>",,,,,,
"857","1056","<[2012-06-26T20:29:17.000, 2015-03-23T19:29:17.000, 1]>",,,,,,
"683","378","<[2012-07-18T17:28:26.000, 2015-04-14T17:28:26.000, 1]>",,,,,,
"8","863","<[2012-06-05T18:45:50.000, 2012-08-14T18:28:09.000, 1); [2012-08-14T18:28:09.000, 2015-03-02T17:45:50.000, 2); [2015-03-02T17:45:50.000, 2015-05-11T18:28:09.000, 1]>",,,,,,
"825","782","<[2012-05-15T00:21:53.000, 2015-02-08T23:21:53.000, 1]>",,,,,,
"64","754","<[2012-06-11T18:07:53.000, 2012-06-12T04:30:27.000, 1); [2012-06-12T04:30:27.000, 2012-06-12T20:02:00.000, 2); [2012-06-12T20:02:00.000, 2015-03-08T17:07:53.000, 3); [2015-03-08T17:07:53.000, 2015-03-09T03:30:27.000, 2); [2015-03-09T03:30:27.000, 2015-03-09T19:02:00.000, 1]>",,,,,,
"683","499","<[2012-04-23T17:29:41.000, 2015-01-18T16:29:41.000, 1]>",,,,,,
"700","5","<[2012-04-16T18:33:31.000, 2012-05-10T09:01:47.000, 1); [2012-05-10T09:01:47.000, 2015-01-11T17:33:31.000, 2); [2015-01-11T17:33:31.000, 2015-02-04T08:01:47.000, 1]>",,,,,,
"4","151","<[2012-04-02T11:18:39.000, 2012-04-02T15:17:41.000, 1); [2012-04-02T15:17:41.000, 2014-12-28T10:18:39.000, 2); [2014-12-28T10:18:39.000, 2014-12-28T14:17:41.000, 1]>",,,,,,
"266","537","<[2012-07-01T10:02:38.000, 2012-07-01T11:09:00.000, 1); [2012-07-01T11:09:00.000, 2012-07-05T11:59:46.000, 2); [2012-07-05T11:59:46.000, 2015-03-28T09:02:38.000, 3); [2015-03-28T09:02:38.000, 2015-03-28T10:09:00.000, 2); [2015-03-28T10:09:00.000, 2015-04-01T11:59:46.000, 1]>",,,,,,
"4","824","<[2012-08-14T18:12:46.000, 2015-05-11T18:12:46.000, 1]>",,,,,,
"685","4","<[2012-04-20T20:20:21.000, 2012-04-20T20:20:27.000, 1); [2012-04-20T20:20:27.000, 2015-01-15T19:20:21.000, 2); [2015-01-15T19:20:21.000, 2015-01-15T19:20:27.000, 1]>",,,,,,
"536","684","<[2012-04-06T09:46:36.000, 2012-04-16T16:06:06.000, 1); [2012-04-16T16:06:06.000, 2012-06-27T12:33:31.000, 2); [2012-06-27T12:33:31.000, 2015-01-01T08:46:36.000, 3); [2015-01-01T08:46:36.000, 2015-01-11T15:06:06.000, 2); [2015-01-11T15:06:06.000, 2015-03-24T11:33:31.000, 1]>",,,,,,
"4","95","<[2011-12-13T00:47:25.000, 2011-12-15T01:33:45.000, 1); [2011-12-15T01:33:45.000, 2014-09-08T01:47:25.000, 2); [2014-09-08T01:47:25.000, 2014-09-10T02:33:45.000, 1]>",,,,,,
