Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"700","700","<[2012-05-18T10:54:40.000, 2015-02-12T09:54:40.000, 1]>",,,,,,
"1070","10","<[2012-08-29T16:47:52.000, 2015-05-26T16:47:52.000, 1]>",,,,,,
"4","36","<[2012-05-18T20:37:00.000, 2015-02-12T19:37:00.000, 1]>",,,,,,
"10","815","<[2012-05-04T23:53:39.000, 2015-01-29T22:53:39.000, 1]>",,,,,,
"64","207","<[2012-04-29T16:49:48.000, 2012-05-01T17:17:28.000, 1); [2012-05-01T17:17:28.000, 2015-01-24T15:49:48.000, 2); [2015-01-24T15:49:48.000, 2015-01-26T16:17:28.000, 1]>",,,,,,
"499","4","<[2012-04-24T00:41:40.000, 2015-01-18T23:41:40.000, 1]>",,,,,,
"64","439","<[2012-03-07T18:23:11.000, 2012-03-11T19:22:17.000, 1); [2012-03-11T19:22:17.000, 2014-12-02T18:23:11.000, 2); [2014-12-02T18:23:11.000, 2014-12-06T19:22:17.000, 1]>",,,,,,
"203","64","<[2011-11-23T09:40:17.000, 2011-11-23T19:39:01.000, 1); [2011-11-23T19:39:01.000, 2011-11-24T20:37:50.000, 2); [2011-11-24T20:37:50.000, 2011-11-24T21:26:09.000, 3); [2011-11-24T21:26:09.000, 2011-11-25T20:12:51.000, 4); [2011-11-25T20:12:51.000, 2011-11-25T20:53:28.000, 5); [2011-11-25T20:53:28.000, 2011-11-26T20:54:11.000, 6); [2011-11-26T20:54:11.000, 2011-12-01T18:11:51.000, 7); [2011-12-01T18:11:51.000, 2012-01-13T17:10:47.000, 8); [2012-01-13T17:10:47.000, 2012-01-14T19:59:38.000, 9); [2012-01-14T19:59:38.000, 2012-01-15T17:36:11.000, 10); [2012-01-15T17:36:11.000, 2012-01-19T17:31:06.000, 11); [2012-01-19T17:31:06.000, 2012-01-19T17:48:18.000, 12); [2012-01-19T17:48:18.000, 2012-01-19T22:17:16.000, 13); [2012-01-19T22:17:16.000, 2012-01-21T19:09:23.000, 14); [2012-01-21T19:09:23.000, 2012-01-22T19:13:03.000, 15); [2012-01-22T19:13:03.000, 2012-01-25T20:11:00.000, 16); [2012-01-25T20:11:00.000, 2012-02-05T16:10:18.000, 17); [2012-02-05T16:10:18.000, 2012-02-20T17:24:13.000, 18); [2012-02-20T17:24:13.000, 2012-02-21T17:28:14.000, 19); [2012-02-21T17:28:14.000, 2012-02-22T06:28:35.000, 20); [2012-02-22T06:28:35.000, 2012-02-22T06:30:20.000, 21); [2012-02-22T06:30:20.000, 2012-02-22T19:51:03.000, 22); [2012-02-22T19:51:03.000, 2012-02-23T06:02:45.000, 23); [2012-02-23T06:02:45.000, 2012-03-25T17:11:14.000, 24); [2012-03-25T17:11:14.000, 2012-03-29T20:13:09.000, 25); [2012-03-29T20:13:09.000, 2012-03-30T07:32:27.000, 26); [2012-03-30T07:32:27.000, 2012-04-13T09:27:56.000, 27); [2012-04-13T09:27:56.000, 2012-04-15T16:48:06.000, 28); [2012-04-15T16:48:06.000, 2012-04-17T04:59:25.000, 29); [2012-04-17T04:59:25.000, 2012-04-17T05:07:25.000, 30); [2012-04-17T05:07:25.000, 2012-04-17T05:13:58.000, 31); [2012-04-17T05:13:58.000, 2012-04-18T19:52:45.000, 32); [2012-04-18T19:52:45.000, 2012-05-18T17:07:49.000, 33); [2012-05-18T17:07:49.000, 2012-05-20T14:15:14.000, 34); [2012-05-20T14:15:14.000, 2014-08-19T10:40:17.000, 35); [2014-08-19T10:40:17.000, 2014-08-19T20:39:01.000, 34); [2014-08-19T20:39:01.000, 2014-08-20T21:37:50.000, 33); [2014-08-20T21:37:50.000, 2014-08-20T22:26:09.000, 32); [2014-08-20T22:26:09.000, 2014-08-21T21:12:51.000, 31); [2014-08-21T21:12:51.000, 2014-08-21T21:53:28.000, 30); [2014-08-21T21:53:28.000, 2014-08-22T21:54:11.000, 29); [2014-08-22T21:54:11.000, 2014-08-27T19:11:51.000, 28); [2014-08-27T19:11:51.000, 2014-10-09T18:10:47.000, 27); [2014-10-09T18:10:47.000, 2014-10-10T20:59:38.000, 26); [2014-10-10T20:59:38.000, 2014-10-11T18:36:11.000, 25); [2014-10-11T18:36:11.000, 2014-10-15T18:31:06.000, 24); [2014-10-15T18:31:06.000, 2014-10-15T18:48:18.000, 23); [2014-10-15T18:48:18.000, 2014-10-15T23:17:16.000, 22); [2014-10-15T23:17:16.000, 2014-10-17T20:09:23.000, 21); [2014-10-17T20:09:23.000, 2014-10-18T20:13:03.000, 20); [2014-10-18T20:13:03.000, 2014-10-21T21:11:00.000, 19); [2014-10-21T21:11:00.000, 2014-11-01T16:10:18.000, 18); [2014-11-01T16:10:18.000, 2014-11-16T17:24:13.000, 17); [2014-11-16T17:24:13.000, 2014-11-17T17:28:14.000, 16); [2014-11-17T17:28:14.000, 2014-11-18T06:28:35.000, 15); [2014-11-18T06:28:35.000, 2014-11-18T06:30:20.000, 14); [2014-11-18T06:30:20.000, 2014-11-18T19:51:03.000, 13); [2014-11-18T19:51:03.000, 2014-11-19T06:02:45.000, 12); [2014-11-19T06:02:45.000, 2014-12-20T16:11:14.000, 11); [2014-12-20T16:11:14.000, 2014-12-24T19:13:09.000, 10); [2014-12-24T19:13:09.000, 2014-12-25T06:32:27.000, 9); [2014-12-25T06:32:27.000, 2015-01-08T08:27:56.000, 8); [2015-01-08T08:27:56.000, 2015-01-10T15:48:06.000, 7); [2015-01-10T15:48:06.000, 2015-01-12T03:59:25.000, 6); [2015-01-12T03:59:25.000, 2015-01-12T04:07:25.000, 5); [2015-01-12T04:07:25.000, 2015-01-12T04:13:58.000, 4); [2015-01-12T04:13:58.000, 2015-01-13T18:52:45.000, 3); [2015-01-13T18:52:45.000, 2015-02-12T16:07:49.000, 2); [2015-02-12T16:07:49.000, 2015-02-14T13:15:14.000, 1]>",,,,,,
"64","412","<[2012-03-13T03:35:00.000, 2012-03-20T03:05:55.000, 1); [2012-03-20T03:05:55.000, 2014-12-08T03:35:00.000, 2); [2014-12-08T03:35:00.000, 2014-12-15T03:05:55.000, 1]>",,,,,,
"468","54","<[2012-06-25T19:30:03.000, 2015-03-22T18:30:03.000, 1]>",,,,,,
