200,0,1054,01 - Bootcamp,1
199,0,1312,01 - Bootcamp,2
201,0,962,01 - Bootcamp,1
206,12,174,01 - Bootcamp,0
207,12,93,01 - Bootcamp,12
208,1,3754,01 - Bootcamp,0
209,0,638,01 - Bootcamp,0
210,5,1017,01 - Bootcamp,0
211,1,2607,01 - Bootcamp,0
212,5,755,01 - Bootcamp,0
213,0,1808,01 - Bootcamp,1
214,0,485,01 - Bootcamp,12
215,0,330,01 - Bootcamp,12
216,0,1153,01 - Bootcamp,1
221,0,365,01 - Bootcamp,5
222,0,749,01 - Bootcamp,0
223,0,290,01 - Bootcamp,2
224,2,3243,01 - Bootcamp,0
218,0,2243,01 - Bootcamp,0
219,12,72,01 - Bootcamp,0
220,0,1830,01 - Bootcamp,5
225,5,426,01 - Bootcamp,0
226,0,1428,01 - Bootcamp,2
227,0,3426,01 - Bootcamp,0
228,2,1308,01 - Bootcamp,0
229,0,2073,01 - Bootcamp,5
230,0,2407,01 - Bootcamp,0
231,12,2645,01 - Bootcamp,5
232,0,941,01 - Bootcamp,0
233,0,956,01 - Bootcamp,2
234,0,216,01 - Bootcamp,4
235,2,2470,01 - Bootcamp,0
236,0,1078,01 - Bootcamp,2
237,2,573,01 - Bootcamp,0
238,0,2166,01 - Bootcamp,0
239,0,550,02 - Making a living,0
240,0,938,01 - Bootcamp,2
241,2,1722,01 - Bootcamp,0
242,0,617,01 - Bootcamp,2
243,0,85,02 - Making a living,0
244,2,1469,02 - Making a living,0
245,2,431,01 - Bootcamp,0
246,12,1046,01 - Bootcamp,12
247,12,1018,01 - Bootcamp,0
248,0,181,02 - Making a living,0
249,0,3832,02 - Making a living,0
250,0,609,02 - Making a living,0
251,0,63,01 - Bootcamp,12
252,9,2862,01 - Bootcamp,0
253,1,3291,01 - Bootcamp,0
254,1,1173,01 - Bootcamp,0
255,1,1051,01 - Bootcamp,0
256,0,352,01 - Bootcamp,2
259,0,5634,02 - Making a living,0
258,0,1197,02 - Making a living,0
260,2,261,01 - Bootcamp,0
261,0,601,01 - Bootcamp,9
262,0,108,00 - Undefined,0
263,9,402,01 - Bootcamp,0
264,0,1980,02 - Making a living,0
265,12,27,01 - Bootcamp,0
446,0,628,"03 - We, the people",2
267,0,1071,02 - Making a living,0
268,0,1477,02 - Making a living,12
269,0,462,01 - Bootcamp,1
270,0,8397,02 - Making a living,0
271,1,372,01 - Bootcamp,0
272,0,2519,01 - Bootcamp,1
273,0,3977,01 - Bootcamp,1
274,1,480,01 - Bootcamp,0
275,1,785,01 - Bootcamp,0
276,0,541,01 - Bootcamp,2
277,0,1255,01 - Bootcamp,9
278,0,1508,01 - Bootcamp,1
279,0,1372,01 - Bootcamp,0
280,0,3,01 - Bootcamp,0
